"id","jobcardno","jobcarddate","referid","wordorderno","wordorderdate","eqpttimein","dues","ininspector","outinspector","ininspectortrade","outinspectortrade","mothersection","timeforininsph","timeforininspm","timeforoutinsph","timeforoutinspm","fuelintank","inkm","datetimeout","timeinsiturepair","awaitingtimetech","awaitingtimetools","awaitingtimespares","veheqptoutdate","tsscleardate","tssclosingclk","jobcardclosedon","jobcardclosingclk","code","yearcode","remarks","instatus","outstatus","eqptfunctionalstatus","mainttype","exploitationtype","geographicloc","age","repairgap","previousstatus","previousjobref","spareissue","lrc","ttrrepairs","ttreqptinout","ttrjobclose","refbm","outkm","fuelouttank"
"19","B030835076","2022-08-20 00:00:00","221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"393","B783541364","2016-04-14 00:00:00","77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"394","B787638807","2018-02-02 00:00:00","500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"395","B788538966","2023-12-13 00:00:00","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"396","B788992055","2016-10-28 00:00:00","294",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"397","B789716346","2023-03-29 00:00:00","102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"398","B790177848","2014-04-20 00:00:00","301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"399","B793606769","2022-11-02 00:00:00","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"400","B797818391","2011-11-25 00:00:00","454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"401","B798582069","2019-03-11 00:00:00","412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"402","B802451778","2018-05-11 00:00:00","419",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"403","B804291156","2019-06-06 00:00:00","179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"404","B807971038","2021-08-17 00:00:00","341",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"405","B810213133","2011-03-05 00:00:00","443",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"406","B812414391","2022-01-22 00:00:00","350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"407","B816617334","2023-08-12 00:00:00","175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"408","B818292492","2007-03-24 00:00:00","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"409","B819464348","2010-10-31 00:00:00","188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"410","B823873024","2007-08-17 00:00:00","222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"411","B825454545","2020-09-24 00:00:00","421",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"412","B826011215","2011-10-22 00:00:00","447",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"413","B827903171","2005-09-05 00:00:00","62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"414","B830206501","2008-04-16 00:00:00","342",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"415","B833226037","2018-06-23 00:00:00","398",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"416","B833727489","2015-06-15 00:00:00","70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"417","B835394733","2011-03-31 00:00:00","469",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"418","B836637359","2015-10-03 00:00:00","275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"419","B836946585","2019-06-19 00:00:00","116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"420","B839571568","2016-11-01 00:00:00","470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"421","B841965732","2010-03-25 00:00:00","162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"422","B844453273","2012-06-22 00:00:00","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"423","B848118002","2019-06-23 00:00:00","415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"424","B850125633","2011-04-29 00:00:00","290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"425","B850309994","2018-03-05 00:00:00","428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"426","B853083843","2021-10-01 00:00:00","393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"427","B853789680","2008-06-10 00:00:00","383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"428","B853939030","2024-04-09 00:00:00","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"429","B854253369","2021-11-15 00:00:00","412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"430","B854295800","2011-04-12 00:00:00","251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"431","B855994153","2014-06-13 00:00:00","439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"432","B860990212","2023-12-14 00:00:00","63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"433","B862079402","2021-08-03 00:00:00","458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"434","B863275248","2020-07-06 00:00:00","96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"435","B864297978","2020-09-16 00:00:00","396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"436","B866244035","2016-06-04 00:00:00","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"437","B867107494","2021-09-01 00:00:00","323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"438","B867643091","2012-09-29 00:00:00","166",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"439","B867670269","2016-02-24 00:00:00","429",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"440","B870003914","2010-08-17 00:00:00","455",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"441","B871053394","2011-06-26 00:00:00","160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"442","B871185404","2005-02-13 00:00:00","427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"443","B871962874","2006-06-16 00:00:00","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"444","B873306350","2014-02-12 00:00:00","499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"445","B873965644","2021-12-27 00:00:00","407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"446","B877891415","2023-12-22 00:00:00","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"447","B878911590","2008-01-04 00:00:00","351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"448","B880300821","2021-09-05 00:00:00","362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"449","B881688239","2022-03-15 00:00:00","212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"450","B884037618","2023-03-16 00:00:00","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"451","B884209010","2007-01-03 00:00:00","247",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"452","B885067278","2020-02-12 00:00:00","405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"453","B888026241","2018-01-26 00:00:00","188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"454","B897599918","2023-06-22 00:00:00","232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"455","B902927904","2011-12-03 00:00:00","409",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"456","B907162997","2010-01-20 00:00:00","322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"457","B909195443","2022-09-02 00:00:00","104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"458","B912308407","2022-02-25 00:00:00","282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"459","B914051762","2007-09-09 00:00:00","204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"460","B915576150","2022-09-29 00:00:00","415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"461","B915971438","2009-10-30 00:00:00","191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"462","B917369436","2007-06-23 00:00:00","80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"463","B918766146","2008-10-28 00:00:00","160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"464","B922839547","2012-08-04 00:00:00","498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"465","B930841010","2024-06-12 00:00:00","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"466","B931675811","2015-01-20 00:00:00","168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"467","B933062876","2019-06-22 00:00:00","79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"468","B933468575","2022-02-11 00:00:00","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"469","B938142688","2021-02-01 00:00:00","444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"470","B939626171","2023-12-31 00:00:00","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"471","B940211915","2018-08-21 00:00:00","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"472","B940686594","2005-11-06 00:00:00","374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"473","B943420491","2023-03-31 00:00:00","194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"474","B944528857","2023-12-07 00:00:00","385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"475","B944852659","2016-08-10 00:00:00","483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"476","B945078014","2020-08-12 00:00:00","156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"477","B945454067","2012-12-03 00:00:00","319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"478","B946504820","2009-07-11 00:00:00","444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"479","B953873448","2013-06-20 00:00:00","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"480","B953888758","2022-03-28 00:00:00","273",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"481","B956284455","2009-12-07 00:00:00","404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"482","B956946727","2010-02-12 00:00:00","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"483","B959389278","2021-03-12 00:00:00","418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"484","B960944784","2015-06-18 00:00:00","213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"485","B964754876","2021-05-17 00:00:00","91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"486","B973329795","2009-01-06 00:00:00","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"487","B977442355","2006-08-09 00:00:00","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"488","B980322531","2015-12-12 00:00:00","232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"489","B983692906","2008-08-31 00:00:00","387",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"490","B985223136","2023-05-01 00:00:00","486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"491","B986728656","2012-09-18 00:00:00","199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"492","B987672284","2021-02-26 00:00:00","222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"493","B988501994","2011-12-10 00:00:00","269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"494","B988671697","2007-02-24 00:00:00","446",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"495","B990742811","2019-08-29 00:00:00","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"496","B991058209","2020-02-23 00:00:00","67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"497","B991435319","2019-10-26 00:00:00","210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"498","B998518256","2014-02-18 00:00:00","272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"499","B999151517","2012-10-15 00:00:00","433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"500","B999815909","2010-08-19 00:00:00","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
