"id","erid","cat","eqptstatus","eqptfunctionalstatus","userunit","catasperfrs","issuetype","dataentryclkname","datedataentry","code","regnno","nomenclature","eoavordate","pssdate","dependentwksp","dtofissue","vintagedate","wtystartdate","wtyduration","maineqptlink1","maineqptlink2","remarksasperfrs","repairprogress","tentativedaterepair","contactperson","inkm","chassisno","chassiskm","userchassiskm","userkm","usereqptstatus","userremarks","userupdate","splnotes","eqptloc","regimental_serno","disable"
"338",,"146",,,"87",,,,,,"69FK989589O","Eicher Canter 10.75",,,,"2012-06-09 00:00:00",,,,,,,,,,"18356",,,,,,,,,,,
"339",,"156",,,"87",,,,,,"69GL186368X","Yamaha FZ-S V3 150cc",,,,"2022-08-19 00:00:00",,,,,,,,,,"47847",,,,,,,,,,,
"340",,"156",,,"97",,,,,,"70FJ357545Z","Yamaha FZ-S V3 150cc",,,,"2012-08-30 00:00:00",,,,,,,,,,"100558",,,,,,,,,,,
"341",,"135",,,"88",,,,,,"70FL588761F","Hero Splendor Plus 100cc",,,,"2005-12-28 00:00:00",,,,,,,,,,"95009",,,,,,,,,,,
"342",,"162",,,"98",,,,,,"70GE841772P","Volvo FMX 440 8x4",,,,"2010-02-03 00:00:00",,,,,,,,,,"43710",,,,,,,,,,,
"343",,"148",,,"113",,,,,,"70HQ271798M","JCB Excavator 3DX",,,,"2024-12-02 00:00:00",,,,,,,,,,"96941",,,,,,,,,,,
"344",,"145",,,"95",,,,,,"70OP373835Z","Ashok Leyland Bus 1616H",,,,"2024-04-11 00:00:00",,,,,,,,,,"116353",,,,,,,,,,,
"345",,"138",,,"100",,,,,,"70WY664487E","Maruti Suzuki Omni Van",,,,"2021-02-01 00:00:00",,,,,,,,,,"80602",,,,,,,,,,,
"346",,"166",,,"112",,,,,,"70YK361431E","Toyota Hilux Pickup",,,,"2016-11-17 00:00:00",,,,,,,,,,"199818",,,,,,,,,,,
"347",,"129",,,"93",,,,,,"71GJ137051N","Ashok Leyland Stallion 6x6",,,,"2023-06-22 00:00:00",,,,,,,,,,"31442",,,,,,,,,,,
"348",,"144",,,"92",,,,,,"71KJ688565W","Force Motors Traveller 3050",,,,"2013-11-21 00:00:00",,,,,,,,,,"102035",,,,,,,,,,,
"349",,"168",,,"88",,,,,,"71SI423927M","Land Rover Defender 110",,,,"2023-05-11 00:00:00",,,,,,,,,,"107835",,,,,,,,,,,
"350",,"167",,,"87",,,,,,"71TV789514A","Nissan Patrol 4x4",,,,"2006-11-04 00:00:00",,,,,,,,,,"156179",,,,,,,,,,,
"351",,"130",,,"105",,,,,,"71UC964734J","Tata 407 LPT",,,,"2015-10-07 00:00:00",,,,,,,,,,"192669",,,,,,,,,,,
"352",,"147",,,"98",,,,,,"71YV211282J","BEML Dozer BD-80",,,,"2014-06-20 00:00:00",,,,,,,,,,"39024",,,,,,,,,,,
"353",,"149",,,"109",,,,,,"72AQ125478G","Escort Tractor 60 HP",,,,"2022-02-11 00:00:00",,,,,,,,,,"101262",,,,,,,,,,,
"354",,"163",,,"104",,,,,,"72GD697633K","Mercedes-Benz Actros 4841K",,,,"2021-03-24 00:00:00",,,,,,,,,,"134972",,,,,,,,,,,
"355",,"144",,,"103",,,,,,"72HE010482R","Force Motors Traveller 3050",,,,"2008-10-19 00:00:00",,,,,,,,,,"51603",,,,,,,,,,,
"356",,"14",,,"86",,,,,,"72NG788828W","M/C 350cc R/E",,,,"2017-05-06 00:00:00",,,,,,,,,,"35519",,,,,,,,,,,
"357",,"159",,,"88",,,,,,"72PZ936770C","Ashok Leyland Hippo 10x10",,,,"2008-08-07 00:00:00",,,,,,,,,,"35662",,,,,,,,,,,
"358",,"158",,,"97",,,,,,"72RP861736Q","Piaggio Ape Auto Rickshaw",,,,"2011-11-18 00:00:00",,,,,,,,,,"143930",,,,,,,,,,,
"359",,"149",,,"111",,,,,,"72VD981576R","Escort Tractor 60 HP",,,,"2011-01-14 00:00:00",,,,,,,,,,"98953",,,,,,,,,,,
"360",,"128",,,"109",,,,,,"72WZ785637H","Ashok Leyland Stallion 4x4",,,,"2009-07-01 00:00:00",,,,,,,,,,"135648",,,,,,,,,,,
"361",,"155",,,"106",,,,,,"72XD573138X","Yamaha RX-100",,,,"2013-05-17 00:00:00",,,,,,,,,,"89731",,,,,,,,,,,
"362",,"144",,,"100",,,,,,"73CS011306R","Force Motors Traveller 3050",,,,"2010-03-03 00:00:00",,,,,,,,,,"142631",,,,,,,,,,,
"363",,"125",,,"86",,,,,,"73MA176130Q","Swaraj Mazda",,,,"2021-07-15 00:00:00",,,,,,,,,,"151521",,,,,,,,,,,
"364",,"136",,,"87",,,,,,"73NT855648A","Mahindra Commander Jeep",,,,"2014-11-14 00:00:00",,,,,,,,,,"65477",,,,,,,,,,,
"365",,"131",,,"111",,,,,,"73PN704804L","Tata 709 LPTA",,,,"2010-03-07 00:00:00",,,,,,,,,,"191914",,,,,,,,,,,
"366",,"139",,,"95",,,,,,"74EI413107X","Maruti Esteem 1300cc",,,,"2009-12-23 00:00:00",,,,,,,,,,"67079",,,,,,,,,,,
"367",,"148",,,"109",,,,,,"74KA003488B","JCB Excavator 3DX",,,,"2010-03-08 00:00:00",,,,,,,,,,"186387",,,,,,,,,,,
"368",,"146",,,"112",,,,,,"74MB665851L","Eicher Canter 10.75",,,,"2005-06-06 00:00:00",,,,,,,,,,"168370",,,,,,,,,,,
"369",,"144",,,"95",,,,,,"74RA884053G","Force Motors Traveller 3050",,,,"2013-11-09 00:00:00",,,,,,,,,,"55791",,,,,,,,,,,
"370",,"122",,,"90",,,,,,"74SW694827R","Jeep M&M 550XD",,,,"2020-11-21 00:00:00",,,,,,,,,,"11825",,,,,,,,,,,
"371",,"126",,,"87",,,,,,"75AL260819J","Tata Sumo Lt Amb",,,,"2015-09-22 00:00:00",,,,,,,,,,"19422",,,,,,,,,,,
"372",,"142",,,"111",,,,,,"75AV083110T","Tata Indigo LS",,,,"2013-04-14 00:00:00",,,,,,,,,,"61277",,,,,,,,,,,
"373",,"137",,,"115",,,,,,"75MN957735E","Mahindra Bolero SLX",,,,"2009-10-06 00:00:00",,,,,,,,,,"156066",,,,,,,,,,,
"374",,"126",,,"88",,,,,,"75UC258477Z","Tata Sumo Lt Amb",,,,"2014-01-11 00:00:00",,,,,,,,,,"194869",,,,,,,,,,,
"375",,"167",,,"101",,,,,,"76HU810992K","Nissan Patrol 4x4",,,,"2007-02-28 00:00:00",,,,,,,,,,"196718",,,,,,,,,,,
"376",,"152",,,"107",,,,,,"76QJ357482J","Hero Passion Pro 110cc",,,,"2012-03-31 00:00:00",,,,,,,,,,"156511",,,,,,,,,,,
"377",,"124",,,"106",,,,,,"76UE461369U","Tata 3/5 Ton-1015TC/36 & 42 FAT",,,,"2005-07-18 00:00:00",,,,,,,,,,"34965",,,,,,,,,,,
"378",,"165",,,"91",,,,,,"77BJ123010Y","Isuzu D-MAX Pickup",,,,"2014-07-01 00:00:00",,,,,,,,,,"182460",,,,,,,,,,,
"379",,"130",,,"90",,,,,,"77NI716629B","Tata 407 LPT",,,,"2023-06-05 00:00:00",,,,,,,,,,"78738",,,,,,,,,,,
"380",,"151",,,"86",,,,,,"77OT756850O","Mahindra Tractor 575 DI",,,,"2014-05-14 00:00:00",,,,,,,,,,"6266",,,,,,,,,,,
"381",,"143",,,"94",,,,,,"77OX770360B","Tata Safari Dicor 2.2",,,,"2022-01-05 00:00:00",,,,,,,,,,"41793",,,,,,,,,,,
"382",,"141",,,"112",,,,,,"77VB162382D","Tata Indica V2 Diesel",,,,"2007-05-07 00:00:00",,,,,,,,,,"72651",,,,,,,,,,,
"383",,"137",,,"97",,,,,,"78AP530320K","Mahindra Bolero SLX",,,,"2015-12-19 00:00:00",,,,,,,,,,"5231",,,,,,,,,,,
"384",,"162",,,"86",,,,,,"78CO559085C","Volvo FMX 440 8x4",,,,"2006-11-02 00:00:00",,,,,,,,,,"143152",,,,,,,,,,,
"385",,"120",,,"99",,,,,,"78DN325341R","Car Ambassador 1800 ISZU (with MPFI & w/o MPFI)",,,,"2023-07-21 00:00:00",,,,,,,,,,"150012",,,,,,,,,,,
"386",,"154",,,"98",,,,,,"78IT940449V","TVS Apache RTR 160cc",,,,"2015-09-17 00:00:00",,,,,,,,,,"70329",,,,,,,,,,,
"387",,"121",,,"100",,,,,,"78NU292999P","Maruti Gypsy (All Models)",,,,"2022-08-28 00:00:00",,,,,,,,,,"100179",,,,,,,,,,,
"388",,"151",,,"112",,,,,,"78TF421595O","Mahindra Tractor 575 DI",,,,"2020-01-25 00:00:00",,,,,,,,,,"81836",,,,,,,,,,,
"389",,"130",,,"93",,,,,,"78YV312892F","Tata 407 LPT",,,,"2005-06-05 00:00:00",,,,,,,,,,"7459",,,,,,,,,,,
"390",,"135",,,"89",,,,,,"78ZC524864Z","Hero Splendor Plus 100cc",,,,"2012-03-01 00:00:00",,,,,,,,,,"166745",,,,,,,,,,,
"391",,"140",,,"88",,,,,,"78ZP359022Y","Maruti Zen (All Models)",,,,"2013-07-05 00:00:00",,,,,,,,,,"91879",,,,,,,,,,,
"392",,"120",,,"104",,,,,,"79DC452077R","Car Ambassador 1800 ISZU (with MPFI & w/o MPFI)",,,,"2016-05-25 00:00:00",,,,,,,,,,"129655",,,,,,,,,,,
"393",,"143",,,"94",,,,,,"79IU930836U","Tata Safari Dicor 2.2",,,,"2012-09-30 00:00:00",,,,,,,,,,"46607",,,,,,,,,,,
"394",,"130",,,"107",,,,,,"79JM761758H","Tata 407 LPT",,,,"2005-08-23 00:00:00",,,,,,,,,,"135388",,,,,,,,,,,
"395",,"129",,,"96",,,,,,"79KA538199E","Ashok Leyland Stallion 6x6",,,,"2022-07-26 00:00:00",,,,,,,,,,"1475",,,,,,,,,,,
"396",,"159",,,"86",,,,,,"79OF214585N","Ashok Leyland Hippo 10x10",,,,"2015-02-18 00:00:00",,,,,,,,,,"185948",,,,,,,,,,,
"397",,"133",,,"104",,,,,,"79WP349807F","Yezdi 250cc Motorcycle",,,,"2012-09-22 00:00:00",,,,,,,,,,"176328",,,,,,,,,,,
"398",,"161",,,"97",,,,,,"79XQ497678M","Scania P410 Tipper",,,,"2023-01-27 00:00:00",,,,,,,,,,"55608",,,,,,,,,,,
"399",,"154",,,"111",,,,,,"80FU972718Y","TVS Apache RTR 160cc",,,,"2013-04-15 00:00:00",,,,,,,,,,"189528",,,,,,,,,,,
"400",,"150",,,"93",,,,,,"80GI470068R","Swaraj Tractor 744 FE",,,,"2020-04-24 00:00:00",,,,,,,,,,"101161",,,,,,,,,,,
"401",,"133",,,"95",,,,,,"80JA194253F","Yezdi 250cc Motorcycle",,,,"2015-02-10 00:00:00",,,,,,,,,,"498",,,,,,,,,,,
"402",,"125",,,"108",,,,,,"80WQ200190E","Swaraj Mazda",,,,"2008-01-30 00:00:00",,,,,,,,,,"185417",,,,,,,,,,,
"403",,"140",,,"100",,,,,,"81BM010070T","Maruti Zen (All Models)",,,,"2005-03-24 00:00:00",,,,,,,,,,"93002",,,,,,,,,,,
"404",,"168",,,"101",,,,,,"81GQ812781Z","Land Rover Defender 110",,,,"2005-09-09 00:00:00",,,,,,,,,,"79475",,,,,,,,,,,
"405",,"132",,,"95",,,,,,"81LZ669468D","Bajaj Chetak Scooter",,,,"2024-10-19 00:00:00",,,,,,,,,,"108224",,,,,,,,,,,
"406",,"134",,,"87",,,,,,"81RZ131452J","Royal Enfield 500cc Classic",,,,"2018-08-26 00:00:00",,,,,,,,,,"113634",,,,,,,,,,,
"407",,"157",,,"88",,,,,,"81TK864152E","Suzuki Access 125cc",,,,"2016-01-16 00:00:00",,,,,,,,,,"99591",,,,,,,,,,,
"408",,"142",,,"95",,,,,,"82VV253311Y","Tata Indigo LS",,,,"2005-11-19 00:00:00",,,,,,,,,,"24479",,,,,,,,,,,
"409",,"153",,,"90",,,,,,"83BU178209O","Honda Activa 125cc",,,,"2012-10-05 00:00:00",,,,,,,,,,"34138",,,,,,,,,,,
"410",,"136",,,"112",,,,,,"83HF347502Q","Mahindra Commander Jeep",,,,"2018-02-24 00:00:00",,,,,,,,,,"98434",,,,,,,,,,,
"411",,"131",,,"114",,,,,,"83PW271429E","Tata 709 LPTA",,,,"2013-01-15 00:00:00",,,,,,,,,,"53046",,,,,,,,,,,
"412",,"120",,,"109",,,,,,"83SK413583R","Car Ambassador 1800 ISZU (with MPFI & w/o MPFI)",,,,"2007-03-25 00:00:00",,,,,,,,,,"90617",,,,,,,,,,,
"413",,"165",,,"110",,,,,,"83UT990813K","Isuzu D-MAX Pickup",,,,"2021-12-01 00:00:00",,,,,,,,,,"94752",,,,,,,,,,,
"414",,"130",,,"96",,,,,,"83XZ224295P","Tata 407 LPT",,,,"2019-04-30 00:00:00",,,,,,,,,,"184646",,,,,,,,,,,
"415",,"134",,,"88",,,,,,"84GI846886C","Royal Enfield 500cc Classic",,,,"2017-12-10 00:00:00",,,,,,,,,,"171939",,,,,,,,,,,
"416",,"156",,,"110",,,,,,"84GW285509Q","Yamaha FZ-S V3 150cc",,,,"2019-01-21 00:00:00",,,,,,,,,,"173410",,,,,,,,,,,
"417",,"131",,,"86",,,,,,"84LZ882211E","Tata 709 LPTA",,,,"2017-05-30 00:00:00",,,,,,,,,,"134469",,,,,,,,,,,
"418",,"168",,,"93",,,,,,"84MK435855Q","Land Rover Defender 110",,,,"2012-12-14 00:00:00",,,,,,,,,,"93568",,,,,,,,,,,
"419",,"139",,,"98",,,,,,"84PU700759T","Maruti Esteem 1300cc",,,,"2022-11-08 00:00:00",,,,,,,,,,"158368",,,,,,,,,,,
"420",,"162",,,"95",,,,,,"84QG791312A","Volvo FMX 440 8x4",,,,"2022-08-31 00:00:00",,,,,,,,,,"14358",,,,,,,,,,,
"421",,"167",,,"89",,,,,,"85DI442281F","Nissan Patrol 4x4",,,,"2007-02-04 00:00:00",,,,,,,,,,"74254",,,,,,,,,,,
"422",,"130",,,"96",,,,,,"85HM268781J","Tata 407 LPT",,,,"2015-04-21 00:00:00",,,,,,,,,,"143153",,,,,,,,,,,
"423",,"129",,,"107",,,,,,"85IF558814O","Ashok Leyland Stallion 6x6",,,,"2012-08-09 00:00:00",,,,,,,,,,"4852",,,,,,,,,,,
"424",,"128",,,"111",,,,,,"85LH789780H","Ashok Leyland Stallion 4x4",,,,"2019-08-29 00:00:00",,,,,,,,,,"18760",,,,,,,,,,,
"425",,"125",,,"101",,,,,,"85XO153212R","Swaraj Mazda",,,,"2024-09-14 00:00:00",,,,,,,,,,"187524",,,,,,,,,,,
"426",,"165",,,"92",,,,,,"85ZN435230D","Isuzu D-MAX Pickup",,,,"2017-08-18 00:00:00",,,,,,,,,,"53582",,,,,,,,,,,
"427",,"124",,,"100",,,,,,"86AZ467310H","Tata 3/5 Ton-1015TC/36 & 42 FAT",,,,"2015-09-08 00:00:00",,,,,,,,,,"69335",,,,,,,,,,,
"428",,"137",,,"98",,,,,,"86DL780295U","Mahindra Bolero SLX",,,,"2010-03-01 00:00:00",,,,,,,,,,"154201",,,,,,,,,,,
"429",,"168",,,"92",,,,,,"86IL359817P","Land Rover Defender 110",,,,"2011-08-20 00:00:00",,,,,,,,,,"71373",,,,,,,,,,,
"430",,"161",,,"93",,,,,,"86WV400109L","Scania P410 Tipper",,,,"2022-11-01 00:00:00",,,,,,,,,,"165706",,,,,,,,,,,
"431",,"125",,,"98",,,,,,"86YP620459U","Swaraj Mazda",,,,"2022-03-31 00:00:00",,,,,,,,,,"44412",,,,,,,,,,,
"432",,"133",,,"104",,,,,,"86YT305134I","Yezdi 250cc Motorcycle",,,,"2007-11-21 00:00:00",,,,,,,,,,"92372",,,,,,,,,,,
"433",,"130",,,"100",,,,,,"87EH054327O","Tata 407 LPT",,,,"2020-12-10 00:00:00",,,,,,,,,,"197139",,,,,,,,,,,
"434",,"154",,,"106",,,,,,"87HR611661S","TVS Apache RTR 160cc",,,,"2012-05-22 00:00:00",,,,,,,,,,"82904",,,,,,,,,,,
"435",,"158",,,"100",,,,,,"87XE691402D","Piaggio Ape Auto Rickshaw",,,,"2009-02-03 00:00:00",,,,,,,,,,"37032",,,,,,,,,,,
"436",,"139",,,"95",,,,,,"88AB973774A","Maruti Esteem 1300cc",,,,"2011-09-12 00:00:00",,,,,,,,,,"140168",,,,,,,,,,,
"437",,"14",,,"94",,,,,,"88JC628260N","M/C 350cc R/E",,,,"2012-03-01 00:00:00",,,,,,,,,,"51598",,,,,,,,,,,
"438",,"143",,,"113",,,,,,"88QG772240N","Tata Safari Dicor 2.2",,,,"2009-05-23 00:00:00",,,,,,,,,,"42836",,,,,,,,,,,
"439",,"165",,,"102",,,,,,"88VZ714724Z","Isuzu D-MAX Pickup",,,,"2009-05-12 00:00:00",,,,,,,,,,"34575",,,,,,,,,,,
"440",,"150",,,"90",,,,,,"89QX608038F","Swaraj Tractor 744 FE",,,,"2019-11-26 00:00:00",,,,,,,,,,"79142",,,,,,,,,,,
"441",,"151",,,"92",,,,,,"89RI062917H","Mahindra Tractor 575 DI",,,,"2020-03-09 00:00:00",,,,,,,,,,"123265",,,,,,,,,,,
"442",,"146",,,"93",,,,,,"89VJ658613H","Eicher Canter 10.75",,,,"2024-11-30 00:00:00",,,,,,,,,,"164293",,,,,,,,,,,
"443",,"140",,,"110",,,,,,"89VN870576P","Maruti Zen (All Models)",,,,"2007-07-05 00:00:00",,,,,,,,,,"162832",,,,,,,,,,,
"444",,"120",,,"95",,,,,,"90AL310178L","Car Ambassador 1800 ISZU (with MPFI & w/o MPFI)",,,,"2007-07-27 00:00:00",,,,,,,,,,"63162",,,,,,,,,,,
"445",,"152",,,"92",,,,,,"90JA209324X","Hero Passion Pro 110cc",,,,"2006-05-11 00:00:00",,,,,,,,,,"6212",,,,,,,,,,,
"446",,"157",,,"104",,,,,,"90NC639719K","Suzuki Access 125cc",,,,"2012-03-19 00:00:00",,,,,,,,,,"145138",,,,,,,,,,,
"447",,"163",,,"90",,,,,,"90NU873974M","Mercedes-Benz Actros 4841K",,,,"2018-08-17 00:00:00",,,,,,,,,,"91523",,,,,,,,,,,
"448",,"162",,,"103",,,,,,"91CM606022X","Volvo FMX 440 8x4",,,,"2013-04-02 00:00:00",,,,,,,,,,"153132",,,,,,,,,,,
"449",,"161",,,"114",,,,,,"91CW244828W","Scania P410 Tipper",,,,"2023-01-21 00:00:00",,,,,,,,,,"190028",,,,,,,,,,,
"450",,"162",,,"98",,,,,,"91HZ897866V","Volvo FMX 440 8x4",,,,"2020-06-26 00:00:00",,,,,,,,,,"96975",,,,,,,,,,,
"451",,"147",,,"99",,,,,,"91JQ693268Q","BEML Dozer BD-80",,,,"2023-12-02 00:00:00",,,,,,,,,,"2587",,,,,,,,,,,
"452",,"149",,,"115",,,,,,"91OO413398P","Escort Tractor 60 HP",,,,"2008-10-29 00:00:00",,,,,,,,,,"188486",,,,,,,,,,,
"453",,"147",,,"95",,,,,,"91OZ751102Q","BEML Dozer BD-80",,,,"2019-12-10 00:00:00",,,,,,,,,,"26316",,,,,,,,,,,
"454",,"152",,,"102",,,,,,"91YY750481T","Hero Passion Pro 110cc",,,,"2024-06-07 00:00:00",,,,,,,,,,"22294",,,,,,,,,,,
"455",,"137",,,"107",,,,,,"92DP726283L","Mahindra Bolero SLX",,,,"2024-10-20 00:00:00",,,,,,,,,,"91975",,,,,,,,,,,
"456",,"159",,,"106",,,,,,"92DS529892Y","Ashok Leyland Hippo 10x10",,,,"2015-05-31 00:00:00",,,,,,,,,,"71987",,,,,,,,,,,
"457",,"134",,,"97",,,,,,"92HF251561W","Royal Enfield 500cc Classic",,,,"2007-02-18 00:00:00",,,,,,,,,,"154423",,,,,,,,,,,
"458",,"155",,,"101",,,,,,"92LD383068U","Yamaha RX-100",,,,"2008-07-03 00:00:00",,,,,,,,,,"77914",,,,,,,,,,,
"459",,"144",,,"89",,,,,,"92PI926346W","Force Motors Traveller 3050",,,,"2010-10-04 00:00:00",,,,,,,,,,"152823",,,,,,,,,,,
"460",,"146",,,"94",,,,,,"92UH207154C","Eicher Canter 10.75",,,,"2017-12-17 00:00:00",,,,,,,,,,"55214",,,,,,,,,,,
"461",,"147",,,"111",,,,,,"92UY044114E","BEML Dozer BD-80",,,,"2017-09-15 00:00:00",,,,,,,,,,"125616",,,,,,,,,,,
"462",,"159",,,"87",,,,,,"93FP045875X","Ashok Leyland Hippo 10x10",,,,"2017-03-04 00:00:00",,,,,,,,,,"65125",,,,,,,,,,,
"463",,"141",,,"94",,,,,,"93IY151747O","Tata Indica V2 Diesel",,,,"2023-03-19 00:00:00",,,,,,,,,,"104200",,,,,,,,,,,
"464",,"132",,,"107",,,,,,"93YB862086L","Bajaj Chetak Scooter",,,,"2012-07-16 00:00:00",,,,,,,,,,"162285",,,,,,,,,,,
"465",,"14",,,"110",,,,,,"94FI176663R","M/C 350cc R/E",,,,"2012-07-30 00:00:00",,,,,,,,,,"136526",,,,,,,,,,,
"466",,"164",,,"103",,,,,,"94GO378173Z","MAN CLA 49.280 Tractor",,,,"2014-03-01 00:00:00",,,,,,,,,,"35277",,,,,,,,,,,
"467",,"159",,,"86",,,,,,"94QN804053B","Ashok Leyland Hippo 10x10",,,,"2015-12-31 00:00:00",,,,,,,,,,"119688",,,,,,,,,,,
"468",,"136",,,"115",,,,,,"94VU407712U","Mahindra Commander Jeep",,,,"2021-06-20 00:00:00",,,,,,,,,,"144457",,,,,,,,,,,
"469",,"147",,,"90",,,,,,"94ZA786786U","BEML Dozer BD-80",,,,"2021-12-14 00:00:00",,,,,,,,,,"85506",,,,,,,,,,,
"470",,"166",,,"98",,,,,,"95FF524038F","Toyota Hilux Pickup",,,,"2006-07-26 00:00:00",,,,,,,,,,"59812",,,,,,,,,,,
"471",,"130",,,"89",,,,,,"95JA394750Y","Tata 407 LPT",,,,"2019-10-18 00:00:00",,,,,,,,,,"106388",,,,,,,,,,,
"472",,"134",,,"104",,,,,,"95MV548468Z","Royal Enfield 500cc Classic",,,,"2019-04-09 00:00:00",,,,,,,,,,"62548",,,,,,,,,,,
"473",,"145",,,"106",,,,,,"95RR769928V","Ashok Leyland Bus 1616H",,,,"2018-08-04 00:00:00",,,,,,,,,,"166017",,,,,,,,,,,
"474",,"157",,,"90",,,,,,"95TM428225Y","Suzuki Access 125cc",,,,"2013-04-15 00:00:00",,,,,,,,,,"17860",,,,,,,,,,,
"475",,"135",,,"106",,,,,,"95XB685339F","Hero Splendor Plus 100cc",,,,"2011-10-11 00:00:00",,,,,,,,,,"167240",,,,,,,,,,,
"476",,"149",,,"98",,,,,,"95YO553049Y","Escort Tractor 60 HP",,,,"2014-12-15 00:00:00",,,,,,,,,,"91567",,,,,,,,,,,
"477",,"129",,,"111",,,,,,"95ZP270018J","Ashok Leyland Stallion 6x6",,,,"2008-11-13 00:00:00",,,,,,,,,,"138568",,,,,,,,,,,
"478",,"140",,,"95",,,,,,"96KA423109P","Maruti Zen (All Models)",,,,"2013-03-23 00:00:00",,,,,,,,,,"134848",,,,,,,,,,,
"479",,"148",,,"95",,,,,,"96MJ384465I","JCB Excavator 3DX",,,,"2015-10-25 00:00:00",,,,,,,,,,"123452",,,,,,,,,,,
"480",,"160",,,"102",,,,,,"96MK465465I","Tata Prima 4028 Truck",,,,"2017-01-08 00:00:00",,,,,,,,,,"39617",,,,,,,,,,,
"481",,"137",,,"114",,,,,,"96MN836075J","Mahindra Bolero SLX",,,,"2006-04-22 00:00:00",,,,,,,,,,"126728",,,,,,,,,,,
"482",,"142",,,"108",,,,,,"96PZ144539O","Tata Indigo LS",,,,"2018-06-08 00:00:00",,,,,,,,,,"110134",,,,,,,,,,,
"483",,"147",,,"107",,,,,,"96WA485153G","BEML Dozer BD-80",,,,"2012-07-04 00:00:00",,,,,,,,,,"122258",,,,,,,,,,,
"484",,"128",,,"106",,,,,,"97AE620249S","Ashok Leyland Stallion 4x4",,,,"2015-09-26 00:00:00",,,,,,,,,,"55535",,,,,,,,,,,
"485",,"131",,,"93",,,,,,"97JZ569932Z","Tata 709 LPTA",,,,"2013-06-20 00:00:00",,,,,,,,,,"129877",,,,,,,,,,,
"486",,"126",,,"92",,,,,,"97KI184064V","Tata Sumo Lt Amb",,,,"2024-07-26 00:00:00",,,,,,,,,,"180638",,,,,,,,,,,
"487",,"140",,,"98",,,,,,"97PR932604E","Maruti Zen (All Models)",,,,"2017-05-22 00:00:00",,,,,,,,,,"73600",,,,,,,,,,,
"488",,"127",,,"108",,,,,,"97YW143291Y","LCV DCM Toyota Dyna",,,,"2011-06-05 00:00:00",,,,,,,,,,"147517",,,,,,,,,,,
"489",,"135",,,"100",,,,,,"98EL481583M","Hero Splendor Plus 100cc",,,,"2007-01-05 00:00:00",,,,,,,,,,"195688",,,,,,,,,,,
"490",,"149",,,"102",,,,,,"98FU702371W","Escort Tractor 60 HP",,,,"2019-03-14 00:00:00",,,,,,,,,,"22075",,,,,,,,,,,
"491",,"158",,,"98",,,,,,"98PS849624B","Piaggio Ape Auto Rickshaw",,,,"2012-05-14 00:00:00",,,,,,,,,,"7976",,,,,,,,,,,
"492",,"160",,,"114",,,,,,"98UJ626336O","Tata Prima 4028 Truck",,,,"2015-05-23 00:00:00",,,,,,,,,,"62483",,,,,,,,,,,
"493",,"128",,,"111",,,,,,"99AD219807R","Ashok Leyland Stallion 4x4",,,,"2018-07-01 00:00:00",,,,,,,,,,"24900",,,,,,,,,,,
"494",,"128",,,"89",,,,,,"99FC524861L","Ashok Leyland Stallion 4x4",,,,"2008-01-17 00:00:00",,,,,,,,,,"12985",,,,,,,,,,,
"495",,"152",,,"98",,,,,,"99LR865317N","Hero Passion Pro 110cc",,,,"2013-11-30 00:00:00",,,,,,,,,,"76816",,,,,,,,,,,
"496",,"149",,,"100",,,,,,"99MO241290M","Escort Tractor 60 HP",,,,"2019-03-23 00:00:00",,,,,,,,,,"66134",,,,,,,,,,,
"497",,"124",,,"98",,,,,,"99MU610616I","Tata 3/5 Ton-1015TC/36 & 42 FAT",,,,"2018-03-23 00:00:00",,,,,,,,,,"136977",,,,,,,,,,,
"498",,"136",,,"86",,,,,,"99RS465468M","Mahindra Commander Jeep",,,,"2010-09-11 00:00:00",,,,,,,,,,"134395",,,,,,,,,,,
"499",,"168",,,"113",,,,,,"99SX835926G","Land Rover Defender 110",,,,"2016-10-03 00:00:00",,,,,,,,,,"18218",,,,,,,,,,,
"500",,"124",,,"99",,,,,,"99YS539882C","Tata 3/5 Ton-1015TC/36 & 42 FAT",,,,"2009-08-27 00:00:00",,,,,,,,,,"181138",,,,,,,,,,,
